N,C,capacity_ratio,distribution,alpha,policy,warmup_T,measure_T,seed,avg_key_size,maxmemory_bytes,dbsize_after,theory_hit_rate,redis_hit_rate,hits,misses,error,abs_error,theory_hit_rate_actual,error_actual,abs_error_actual
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20240902,251.92,1193424,829,0.7647907806039529,0.65136,65136,34864,-0.1134307806039528,0.1134307806039528,0.7456408449841242,-0.09428084498412415,0.09428084498412415
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20240903,251.92,1193424,829,0.7647907806039529,0.65142,65142,34858,-0.1133707806039528,0.1133707806039528,0.7456408449841242,-0.0942208449841242,0.0942208449841242
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20241001,251.92,1193424,830,0.9034454900897962,0.85237,85237,14763,-0.0510754900897962,0.0510754900897962,0.8935155007369713,-0.04114550073697132,0.04114550073697132
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20241002,251.92,1193424,830,0.9034454900897962,0.8522,85220,14780,-0.0512454900897962,0.0512454900897962,0.8935155007369713,-0.04131550073697132,0.04131550073697132
10000,1000,0.1,zipf,1.2,allkeys-lru,50000,100000,20241003,251.92,1193424,830,0.9034454900897962,0.85282,85282,14718,-0.0506254900897962,0.0506254900897962,0.8935155007369713,-0.04069550073697126,0.04069550073697126
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20241101,251.92,1067464,282,0.6940229720091813,0.5203,52030,47970,-0.1737229720091813,0.1737229720091813,0.6355890004844146,-0.1152890004844146,0.1152890004844146
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20241102,251.92,1067464,284,0.6940229720091813,0.52044,52044,47956,-0.1735829720091812,0.1735829720091812,0.6363097789504845,-0.11586977895048445,0.11586977895048445
10000,500,0.05,zipf,1.0,allkeys-lru,50000,100000,20241103,251.92,1067464,280,0.6940229720091813,0.5178,51780,48220,-0.1762229720091812,0.1762229720091812,0.6348631010023731,-0.11706310100237305,0.11706310100237305
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241201,251.92,1193424,829,0.7647907806039529,0.65194,65194,34806,-0.1128507806039529,0.1128507806039529,0.7456408449841242,-0.09370084498412423,0.09370084498412423
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241202,251.92,1193424,829,0.7647907806039529,0.64865,64865,35135,-0.1161407806039529,0.1161407806039529,0.7456408449841242,-0.09699084498412425,0.09699084498412425
10000,1000,0.1,zipf,1.0,allkeys-lru,50000,100000,20241203,251.92,1193424,829,0.7647907806039529,0.65232,65232,34768,-0.1124707806039528,0.1124707806039528,0.7456408449841242,-0.09332084498412418,0.09332084498412418
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20241301,251.92,1445344,1918,0.8355841125492963,0.76665,76665,23335,-0.0689341125492962,0.0689341125492962,0.8313079374001207,-0.0646579374001206,0.0646579374001206
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20241302,251.92,1445344,1918,0.8355841125492963,0.7657,76570,23430,-0.0698841125492962,0.0698841125492962,0.8313079374001207,-0.06560793740012061,0.06560793740012061
10000,2000,0.2,zipf,1.0,allkeys-lru,50000,100000,20241303,251.92,1445344,1918,0.8355841125492963,0.76406,76406,23594,-0.0715241125492963,0.0715241125492963,0.8313079374001207,-0.0672479374001207,0.0672479374001207
10000,3000,0.3,zipf,1.0,allkeys-lru,50000,100000,20241401,251.92,1697264,2969,0.8770019817254792,0.82466,82466,17534,-0.0523419817254792,0.0523419817254792,0.8759409099129979,-0.05128090991299794,0.05128090991299794
